location,horizon,output_type_id,value,reference_date,target,target_end_date,output_type
01,0,0.01,16.216666666666665,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.025,16.95,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.05,19.67,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.1,22.673333333333336,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.15,27.363333333333333,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.2,30.046666666666667,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.25,31.963333333333335,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.3,34.67333333333334,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.35,37.31333333333333,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.4,40.17333333333333,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.45,44.03333333333333,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.5,49.50333333333333,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.55,54.47666666666667,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.6,59.5,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.65,63.28,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.7,69.48666666666666,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.75,74.31333333333333,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.8,80.92333333333333,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.85,89.88666666666666,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.9,94.85666666666668,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.95,112.77333333333333,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.975,130.17666666666665,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,0,0.99,141.17333333333332,2023-11-25,wk inc flu hosp,2023-11-25,quantile
01,1,0.01,15.103333333333332,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.025,15.26,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.05,15.586666666666666,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.1,16.066666666666666,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.15,24.28333333333333,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.2,25.77,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.25,30.4,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.3,34.626666666666665,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.35,41.053333333333335,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.4,45.49666666666667,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.45,49.15,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.5,52.68666666666667,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.55,54.50666666666666,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.6,57.96,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.65,62.07333333333333,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.7,67.24666666666667,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.75,72.38,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.8,78.91,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.85,86.33,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.9,92.08333333333331,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.95,116.24666666666668,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.975,129.20666666666668,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,1,0.99,133.97333333333333,2023-11-25,wk inc flu hosp,2023-12-02,quantile
01,2,0.01,14.236666666666666,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.025,14.323333333333332,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.05,14.446666666666667,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.1,15.193333333333332,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.15,15.463333333333331,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.2,15.88,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.25,17.963333333333335,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.3,23.353333333333335,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.35,26.366666666666664,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.4,29.423333333333336,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.45,32.96333333333333,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.5,37.8,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.55,41.49666666666666,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.6,44.75333333333333,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.65,49.42666666666667,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.7,53.97666666666667,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.75,62.026666666666664,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.8,68.81666666666666,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.85,78.46333333333332,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.9,86.21,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.95,117.25333333333332,2023-11-25,wk inc flu hosp,2023-12-09,quantile
01,2,0.975,132.72666666666666,2023-11-25,wk inc flu hosp,2023-12-09,quantile
