location,horizon,output_type_id,value,reference_date,target,target_end_date,output_type
01,0,0.01,81.275,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.025,86.285,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.05,88.3,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.1,91.47,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.15,93.025,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.2,94.465,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.25,97.295,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.3,99.335,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.35,101.93,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.4,102.91,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.45,104.405,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.5,106.02,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.55,108.075,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.6,109.235,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.65,110.65,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.7,111.94,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.75,115.3,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.8,116.845,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.85,118.625,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.9,123.1,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.95,126.73,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.975,128.3,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,0,0.99,137.185,2024-02-24,wk inc flu hosp,2024-02-24,quantile
01,1,0.01,78.955,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.025,83.165,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.05,85.965,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.1,89.50999999999999,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.15,92.11,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.2,94.07,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.25,96.13,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.3,99.49,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.35,102.625,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.4,104.64,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.45,108.265,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.5,110.85,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.55,114.67,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.6,117.355,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.65,120.63,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.7,124.815,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.75,129.12,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.8,131.8,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.85,133.82999999999998,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.9,136.67000000000002,2024-02-24,wk inc flu hosp,2024-03-02,quantile
01,1,0.95,142.935,2024-02-24,wk inc flu hosp,2024-03-02,quantile
