location,horizon,output_type_id,value,reference_date,target,target_end_date,output_type
01,0,0.01,87.165,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.025,88.11,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.05,89.08500000000001,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.1,91.79,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.15,93.21,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.2,94.955,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.25,95.68,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.3,97.325,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.35,98.48,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.4,99.78,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.45,101.43,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.5,102.54,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.55,104.01,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.6,105.43,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.65,106.27,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.7,107.235,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.75,108.515,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.8,109.66,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.85,111.67499999999998,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.9,113.435,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.95,117.31,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.975,118.39,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,0,0.99,120.11,2024-03-02,wk inc flu hosp,2024-03-02,quantile
01,1,0.01,79.505,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.025,83.01,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.05,83.935,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.1,88.03999999999999,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.15,91.57,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.2,93.86,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.25,95.62,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.3,97.98,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.35,99.76,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.4,101.505,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.45,103.09,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.5,104.485,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.55,106.005,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.6,107.415,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.65,108.555,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.7,110.015,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.75,111.395,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.8,113.995,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.85,115.985,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.9,117.73,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.95,119.41,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.975,122.96,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,1,0.99,125.875,2024-03-02,wk inc flu hosp,2024-03-09,quantile
01,2,0.01,73.015,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.025,77.995,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.05,83.465,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.1,95.73,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.15,102.555,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.2,107.125,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.25,110.36,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.3,112.89,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.35,116.235,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.4,117.67,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.45,119.695,2024-03-02,wk inc flu hosp,2024-03-16,quantile
01,2,0.5,123.44,2024-03-02,wk inc flu hosp,2024-03-16,quantile
