horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
0,01,quantile,0.01,2024-01-13,wk inc flu hosp,2024-01-13,226
0,01,quantile,0.025,2024-01-13,wk inc flu hosp,2024-01-13,250
0,01,quantile,0.05,2024-01-13,wk inc flu hosp,2024-01-13,269
0,01,quantile,0.1,2024-01-13,wk inc flu hosp,2024-01-13,294
0,01,quantile,0.15,2024-01-13,wk inc flu hosp,2024-01-13,310
0,01,quantile,0.2,2024-01-13,wk inc flu hosp,2024-01-13,322
0,01,quantile,0.25,2024-01-13,wk inc flu hosp,2024-01-13,333
0,01,quantile,0.3,2024-01-13,wk inc flu hosp,2024-01-13,343
0,01,quantile,0.35,2024-01-13,wk inc flu hosp,2024-01-13,352
0,01,quantile,0.4,2024-01-13,wk inc flu hosp,2024-01-13,360
0,01,quantile,0.45,2024-01-13,wk inc flu hosp,2024-01-13,368
0,01,quantile,0.5,2024-01-13,wk inc flu hosp,2024-01-13,378
0,01,quantile,0.55,2024-01-13,wk inc flu hosp,2024-01-13,386
0,01,quantile,0.6,2024-01-13,wk inc flu hosp,2024-01-13,394
0,01,quantile,0.65,2024-01-13,wk inc flu hosp,2024-01-13,404
0,01,quantile,0.7,2024-01-13,wk inc flu hosp,2024-01-13,415
0,01,quantile,0.75,2024-01-13,wk inc flu hosp,2024-01-13,426
0,01,quantile,0.8,2024-01-13,wk inc flu hosp,2024-01-13,440
0,01,quantile,0.85,2024-01-13,wk inc flu hosp,2024-01-13,455
0,01,quantile,0.9,2024-01-13,wk inc flu hosp,2024-01-13,475
0,01,quantile,0.95,2024-01-13,wk inc flu hosp,2024-01-13,511
0,01,quantile,0.975,2024-01-13,wk inc flu hosp,2024-01-13,549
0,01,quantile,0.99,2024-01-13,wk inc flu hosp,2024-01-13,590
1,01,quantile,0.01,2024-01-13,wk inc flu hosp,2024-01-20,207
1,01,quantile,0.025,2024-01-13,wk inc flu hosp,2024-01-20,231
1,01,quantile,0.05,2024-01-13,wk inc flu hosp,2024-01-20,254
1,01,quantile,0.1,2024-01-13,wk inc flu hosp,2024-01-20,286
1,01,quantile,0.15,2024-01-13,wk inc flu hosp,2024-01-20,308
1,01,quantile,0.2,2024-01-13,wk inc flu hosp,2024-01-20,323
1,01,quantile,0.25,2024-01-13,wk inc flu hosp,2024-01-20,337
1,01,quantile,0.3,2024-01-13,wk inc flu hosp,2024-01-20,350
1,01,quantile,0.35,2024-01-13,wk inc flu hosp,2024-01-20,363
1,01,quantile,0.4,2024-01-13,wk inc flu hosp,2024-01-20,375
1,01,quantile,0.45,2024-01-13,wk inc flu hosp,2024-01-20,386
1,01,quantile,0.5,2024-01-13,wk inc flu hosp,2024-01-20,398
1,01,quantile,0.55,2024-01-13,wk inc flu hosp,2024-01-20,409
1,01,quantile,0.6,2024-01-13,wk inc flu hosp,2024-01-20,421
1,01,quantile,0.65,2024-01-13,wk inc flu hosp,2024-01-20,434
1,01,quantile,0.7,2024-01-13,wk inc flu hosp,2024-01-20,448
1,01,quantile,0.75,2024-01-13,wk inc flu hosp,2024-01-20,464
1,01,quantile,0.8,2024-01-13,wk inc flu hosp,2024-01-20,483
1,01,quantile,0.85,2024-01-13,wk inc flu hosp,2024-01-20,506
1,01,quantile,0.9,2024-01-13,wk inc flu hosp,2024-01-20,535
1,01,quantile,0.95,2024-01-13,wk inc flu hosp,2024-01-20,587
1,01,quantile,0.975,2024-01-13,wk inc flu hosp,2024-01-20,650
1,01,quantile,0.99,2024-01-13,wk inc flu hosp,2024-01-20,720
2,01,quantile,0.01,2024-01-13,wk inc flu hosp,2024-01-27,197
2,01,quantile,0.025,2024-01-13,wk inc flu hosp,2024-01-27,228
2,01,quantile,0.05,2024-01-13,wk inc flu hosp,2024-01-27,251
2,01,quantile,0.1,2024-01-13,wk inc flu hosp,2024-01-27,288
2,01,quantile,0.15,2024-01-13,wk inc flu hosp,2024-01-27,311
2,01,quantile,0.2,2024-01-13,wk inc flu hosp,2024-01-27,331
2,01,quantile,0.25,2024-01-13,wk inc flu hosp,2024-01-27,348
2,01,quantile,0.3,2024-01-13,wk inc flu hosp,2024-01-27,362
2,01,quantile,0.35,2024-01-13,wk inc flu hosp,2024-01-27,375
2,01,quantile,0.4,2024-01-13,wk inc flu hosp,2024-01-27,389
2,01,quantile,0.45,2024-01-13,wk inc flu hosp,2024-01-27,404
2,01,quantile,0.5,2024-01-13,wk inc flu hosp,2024-01-27,419
2,01,quantile,0.55,2024-01-13,wk inc flu hosp,2024-01-27,433
2,01,quantile,0.6,2024-01-13,wk inc flu hosp,2024-01-27,447
2,01,quantile,0.65,2024-01-13,wk inc flu hosp,2024-01-27,462
2,01,quantile,0.7,2024-01-13,wk inc flu hosp,2024-01-27,479
2,01,quantile,0.75,2024-01-13,wk inc flu hosp,2024-01-27,498
2,01,quantile,0.8,2024-01-13,wk inc flu hosp,2024-01-27,524
2,01,quantile,0.85,2024-01-13,wk inc flu hosp,2024-01-27,554
2,01,quantile,0.9,2024-01-13,wk inc flu hosp,2024-01-27,596
2,01,quantile,0.95,2024-01-13,wk inc flu hosp,2024-01-27,665
2,01,quantile,0.975,2024-01-13,wk inc flu hosp,2024-01-27,755
2,01,quantile,0.99,2024-01-13,wk inc flu hosp,2024-01-27,911
3,01,quantile,0.01,2024-01-13,wk inc flu hosp,2024-02-03,186
3,01,quantile,0.025,2024-01-13,wk inc flu hosp,2024-02-03,217
3,01,quantile,0.05,2024-01-13,wk inc flu hosp,2024-02-03,245
3,01,quantile,0.1,2024-01-13,wk inc flu hosp,2024-02-03,287
3,01,quantile,0.15,2024-01-13,wk inc flu hosp,2024-02-03,313
3,01,quantile,0.2,2024-01-13,wk inc flu hosp,2024-02-03,336
3,01,quantile,0.25,2024-01-13,wk inc flu hosp,2024-02-03,354
3,01,quantile,0.3,2024-01-13,wk inc flu hosp,2024-02-03,373
3,01,quantile,0.35,2024-01-13,wk inc flu hosp,2024-02-03,390
3,01,quantile,0.4,2024-01-13,wk inc flu hosp,2024-02-03,407
3,01,quantile,0.45,2024-01-13,wk inc flu hosp,2024-02-03,425
3,01,quantile,0.5,2024-01-13,wk inc flu hosp,2024-02-03,444
3,01,quantile,0.55,2024-01-13,wk inc flu hosp,2024-02-03,461
3,01,quantile,0.6,2024-01-13,wk inc flu hosp,2024-02-03,482
3,01,quantile,0.65,2024-01-13,wk inc flu hosp,2024-02-03,502
3,01,quantile,0.7,2024-01-13,wk inc flu hosp,2024-02-03,529
3,01,quantile,0.75,2024-01-13,wk inc flu hosp,2024-02-03,556
3,01,quantile,0.8,2024-01-13,wk inc flu hosp,2024-02-03,585
3,01,quantile,0.85,2024-01-13,wk inc flu hosp,2024-02-03,628
3,01,quantile,0.9,2024-01-13,wk inc flu hosp,2024-02-03,694
3,01,quantile,0.95,2024-01-13,wk inc flu hosp,2024-02-03,805
3,01,quantile,0.975,2024-01-13,wk inc flu hosp,2024-02-03,967
3,01,quantile,0.99,2024-01-13,wk inc flu hosp,2024-02-03,1203
0,02,quantile,0.01,2024-01-13,wk inc flu hosp,2024-01-13,0
0,02,quantile,0.025,2024-01-13,wk inc flu hosp,2024-01-13,0
0,02,quantile,0.05,2024-01-13,wk inc flu hosp,2024-01-13,0
0,02,quantile,0.1,2024-01-13,wk inc flu hosp,2024-01-13,0
0,02,quantile,0.15,2024-01-13,wk inc flu hosp,2024-01-13,0
0,02,quantile,0.2,2024-01-13,wk inc flu hosp,2024-01-13,1
0,02,quantile,0.25,2024-01-13,wk inc flu hosp,2024-01-13,1
0,02,quantile,0.3,2024-01-13,wk inc flu hosp,2024-01-13,1
0,02,quantile,0.35,2024-01-13,wk inc flu hosp,2024-01-13,1
0,02,quantile,0.4,2024-01-13,wk inc flu hosp,2024-01-13,2
0,02,quantile,0.45,2024-01-13,wk inc flu hosp,2024-01-13,2
0,02,quantile,0.5,2024-01-13,wk inc flu hosp,2024-01-13,3
0,02,quantile,0.55,2024-01-13,wk inc flu hosp,2024-01-13,4
0,02,quantile,0.6,2024-01-13,wk inc flu hosp,2024-01-13,4
0,02,quantile,0.65,2024-01-13,wk inc flu hosp,2024-01-13,4
0,02,quantile,0.7,2024-01-13,wk inc flu hosp,2024-01-13,5
0,02,quantile,0.75,2024-01-13,wk inc flu hosp,2024-01-13,5
0,02,quantile,0.8,2024-01-13,wk inc flu hosp,2024-01-13,6
0,02,quantile,0.85,2024-01-13,wk inc flu hosp,2024-01-13,6
0,02,quantile,0.9,2024-01-13,wk inc flu hosp,2024-01-13,7
0,02,quantile,0.95,2024-01-13,wk inc flu hosp,2024-01-13,9
0,02,quantile,0.975,2024-01-13,wk inc flu hosp,2024-01-13,10
0,02,quantile,0.99,2024-01-13,wk inc flu hosp,2024-01-13,12
1,02,quantile,0.01,2024-01-13,wk inc flu hosp,2024-01-20,0
1,02,quantile,0.025,2024-01-13,wk inc flu hosp,2024-01-20,0
1,02,quantile,0.05,2024-01-13,wk inc flu hosp,2024-01-20,0
1,02,quantile,0.1,2024-01-13,wk inc flu hosp,2024-01-20,1
1,02,quantile,0.15,2024-01-13,wk inc flu hosp,2024-01-20,1
1,02,quantile,0.2,2024-01-13,wk inc flu hosp,2024-01-20,1
1,02,quantile,0.25,2024-01-13,wk inc flu hosp,2024-01-20,1
1,02,quantile,0.3,2024-01-13,wk inc flu hosp,2024-01-20,1
1,02,quantile,0.35,2024-01-13,wk inc flu hosp,2024-01-20,1
1,02,quantile,0.4,2024-01-13,wk inc flu hosp,2024-01-20,2
1,02,quantile,0.45,2024-01-13,wk inc flu hosp,2024-01-20,2
1,02,quantile,0.5,2024-01-13,wk inc flu hosp,2024-01-20,4
1,02,quantile,0.55,2024-01-13,wk inc flu hosp,2024-01-20,4
1,02,quantile,0.6,2024-01-13,wk inc flu hosp,2024-01-20,4
1,02,quantile,0.65,2024-01-13,wk inc flu hosp,2024-01-20,5
1,02,quantile,0.7,2024-01-13,wk inc flu hosp,2024-01-20,5
1,02,quantile,0.75,2024-01-13,wk inc flu hosp,2024-01-20,6
1,02,quantile,0.8,2024-01-13,wk inc flu hosp,2024-01-20,7
1,02,quantile,0.85,2024-01-13,wk inc flu hosp,2024-01-20,8
1,02,quantile,0.9,2024-01-13,wk inc flu hosp,2024-01-20,9
1,02,quantile,0.95,2024-01-13,wk inc flu hosp,2024-01-20,11
1,02,quantile,0.975,2024-01-13,wk inc flu hosp,2024-01-20,13
1,02,quantile,0.99,2024-01-13,wk inc flu hosp,2024-01-20,15
2,02,quantile,0.01,2024-01-13,wk inc flu hosp,2024-01-27,0
2,02,quantile,0.025,2024-01-13,wk inc flu hosp,2024-01-27,0
2,02,quantile,0.05,2024-01-13,wk inc flu hosp,2024-01-27,0
2,02,quantile,0.1,2024-01-13,wk inc flu hosp,2024-01-27,0
2,02,quantile,0.15,2024-01-13,wk inc flu hosp,2024-01-27,1
2,02,quantile,0.2,2024-01-13,wk inc flu hosp,2024-01-27,1
2,02,quantile,0.25,2024-01-13,wk inc flu hosp,2024-01-27,1
2,02,quantile,0.3,2024-01-13,wk inc flu hosp,2024-01-27,1
2,02,quantile,0.35,2024-01-13,wk inc flu hosp,2024-01-27,1
2,02,quantile,0.4,2024-01-13,wk inc flu hosp,2024-01-27,2
2,02,quantile,0.45,2024-01-13,wk inc flu hosp,2024-01-27,2
2,02,quantile,0.5,2024-01-13,wk inc flu hosp,2024-01-27,3
2,02,quantile,0.55,2024-01-13,wk inc flu hosp,2024-01-27,4
2,02,quantile,0.6,2024-01-13,wk inc flu hosp,2024-01-27,4
2,02,quantile,0.65,2024-01-13,wk inc flu hosp,2024-01-27,5
2,02,quantile,0.7,2024-01-13,wk inc flu hosp,2024-01-27,6
2,02,quantile,0.75,2024-01-13,wk inc flu hosp,2024-01-27,6
2,02,quantile,0.8,2024-01-13,wk inc flu hosp,2024-01-27,7
2,02,quantile,0.85,2024-01-13,wk inc flu hosp,2024-01-27,8
2,02,quantile,0.9,2024-01-13,wk inc flu hosp,2024-01-27,10
2,02,quantile,0.95,2024-01-13,wk inc flu hosp,2024-01-27,12
2,02,quantile,0.975,2024-01-13,wk inc flu hosp,2024-01-27,14
2,02,quantile,0.99,2024-01-13,wk inc flu hosp,2024-01-27,17
3,02,quantile,0.01,2024-01-13,wk inc flu hosp,2024-02-03,0
3,02,quantile,0.025,2024-01-13,wk inc flu hosp,2024-02-03,0
3,02,quantile,0.05,2024-01-13,wk inc flu hosp,2024-02-03,0
3,02,quantile,0.1,2024-01-13,wk inc flu hosp,2024-02-03,0
3,02,quantile,0.15,2024-01-13,wk inc flu hosp,2024-02-03,0
3,02,quantile,0.2,2024-01-13,wk inc flu hosp,2024-02-03,1
3,02,quantile,0.25,2024-01-13,wk inc flu hosp,2024-02-03,1
3,02,quantile,0.3,2024-01-13,wk inc flu hosp,2024-02-03,1
3,02,quantile,0.35,2024-01-13,wk inc flu hosp,2024-02-03,1
3,02,quantile,0.4,2024-01-13,wk inc flu hosp,2024-02-03,1
