reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.01,0,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.025,0,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.05,0,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.1,0,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.15,0,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.2,0,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.25,0,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.3,0,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.35,0,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.4,1.0172437286973548,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.45,2.1971180556393315,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.5,3.615225212974523,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.55,4.755023707881905,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.6,5.994995601195898,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.65,7.310746651928159,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.7,8.949091943686517,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.75,10.6075327792166,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.8,12.373828241649838,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.85,14.41321318237972,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.9,16.952603595573176,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.95,20.55572809469517,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.975,23.666309824231337,0
2023-10-21,wk inc flu hosp,2023-10-21,01,quantile,0.99,27.370708655998104,0
2023-10-21,wk inc flu hosp,2023-10-21,02,quantile,0.01,0,0
2023-10-21,wk inc flu hosp,2023-10-21,02,quantile,0.025,0,0
